ticker,proventos_12m,dt_ultimo_provento,vl_ultimo_provento,pagto_mês,data_com_mês,valor_mês,data_com_futura,valor_futuro,Ticker,2021,2022,2023,2024,2025,,,,,,2021,2022,2023,2024,2025,anos,PREÇO,YIELD,YIELD 12M,Data Pagamento,Data-com,Valor,Data-com Futura,Valor Futuro,Média + baixa,Mediana,Média,Dividendos 12 meses,Data ultimo provento,classe,valor por cota,,Data Pagamento,Data-com,Valor,Data-com-Futura,Valor-Futuro,,Data-com Estiva Fii,Data-Pagamento Estimativa FII,Valor estimativa FII,,TICKER,TEMPO DE APURAÇÃO,Setor,,TICKER,Data Com,Data Pagamento,Valor,<=investidor10 data-com futura,,Ticker,2020,2021,2022,2023,2024,2020,2021
CSMG3,"2,28",26/12/2025,"0,16",---,---,---,---,---,CSMG3,"0,5157","0,2950","2,6514","2,0431","1,7723",,,,,,"0,5157","0,2950","2,6514","2,0431","1,7723",5 Anos,"54,04","3,28%","4,22%",,,,,,"1,77","1,77","1,46","2,28",26/12/25,Acao,,,---,---,---,---,---,,,,,,CSMG3,5 anos,SANEAMENTO,,CSMG3,----,----,----,,,CSMG3,"2,7876","0,9447","0,3843","2,8930","2,7717","2,79","0,94"
SAPR11,"1,96",26/06/2025,"0,75",---,---,---,---,---,SAPR11,"0,5061","0,9327","1,5154","1,5506","1,9606",,,,,,"0,5061","0,9327","1,5154","1,5506","1,9606",5 Anos,"40,54","3,74%","4,83%",,,,,,"1,52","1,52","1,29","1,96",26/06/25,Acao,,,---,---,---,---,---,,,,,,SAPR11,5 anos,SANEAMENTO,,SAPR11,----,----,----,,,SAPR11,"0,9930","1,0916","1,5086","1,5154","1,5506","0,99","1,09"
SAPR4,"0,40",26/06/2025,"0,15",---,---,---,---,---,SAPR4,"0,1031","0,1900","0,3087","0,3159","0,3994",,,,,,"0,1031","0,1900","0,3087","0,3159","0,3994",5 Anos,"7,88","3,92%","5,08%",,,,,,"0,31","0,31","0,26","0,40",26/06/25,Acao,,,---,---,---,---,---,,,,,,SAPR4,5 anos,SANEAMENTO,,SAPR4,----,----,----,,,SAPR4,"0,2023","0,2224","0,3073","0,3087","0,3159","0,20","0,22"
BBSE3,"4,26",26/08/2025,"1,94",---,---,---,---,---,BBSE3,"0,9957","1,9532",,"2,6328","4,2144",,,,,,"0,9957","1,9532",,"2,6328","4,2144",4 Anos,"33,88","6,77%","12,57%",,,,,,"2,29","2,29","2,45","4,26",26/08/25,Acao,,,---,---,---,---,---,,,,,,BBSE3,5 anos,SEGURO,,BBSE3,----,----,----,,,BBSE3,"2,7736","0,9957","1,9532","3,4475","2,6328","2,77","1,00"
CXSE3,"1,30",17/11/2025,"0,32",16/01/26,02/01/26,"0,002",---,---,CXSE3,,"0,3528","1,0000","0,8306","0,9500",,,,,,,"0,3528","1,0000","0,8306","0,9500",4 Anos,"18,09","4,92%","7,19%",,,,,,"0,89","0,89","0,78","1,30",17/11/25,Acao,,,16/01/26,02/01/26,"0,0020",---,---,,,,,,CXSE3,5 anos,SEGURO,,CXSE3,----,----,----,,,CXSE3,,"0,2446","0,6486","1,0000","1,0646",,"0,24"
VIVT3,"1,05",02/12/2025,"0,11",---,---,---,---,---,VIVT3,,"1,3998","0,5968","0,5808","0,8047",,,,,,,"1,3998","0,5968","0,5808","0,8047",4 Anos,"39,25","1,79%","2,68%",,,,,,"0,70","0,70","0,85","1,05",02/12/25,Acao,,,---,---,---,---,---,,,,,,VIVT3,5 anos,TELEFONIA,,VIVT3,----,----,----,,,VIVT3,"1,7076","1,7313","1,5281","1,0292","0,9468","1,71","1,73"
BDIF11,"10,43",19/12/2025,"0,60",---,---,---,---,---,BDIF11,,,"8,6000","7,3300","8,1300",,,,,,,,"8,6000","7,3300","8,1300",3 Anos,"74,99","10,84%","13,91%",,,,,,"8,13","8,13","8,02","10,43",19/12/25,FII,",36 B",,---,---,---,---,---,,14/05/2026,21/05/2026,"R$ 0,8500",,BDIF11,5 anos,FUNDO IMOBILIARIO,,,,,,,,BDIF11,,"1,6000","16,1000","13,6000","10,8600",,"1,60"
BIDB11,"13,01",12/12/2025,"1,00",15/01/26,30/12/25,1,---,---,BIDB11,,,"5,7200","9,1200","9,8600",,,,,,,,"5,7200","9,1200","9,8600",3 Anos,"80,84","11,28%","16,09%",,,,,,"9,12","9,12","8,23","13,01",12/12/25,FII,",76 M",,15/01/26,30/12/25,"1,0000",---,---,,29/05/2026,12/06/2026,"R$ 1,0000",,BIDB11,5 anos,FUNDO IMOBILIARIO,,,,,,,,BIDB11,,,"10,2700","10,9100","12,2500",,
BTCI11,"1,16",12/12/2025,"0,10",15/01/26,08/01/26,"0,097",---,---,BTCI11,,,"0,7220","0,7400","0,8560",,,,,,,,"0,7220","0,7400","0,8560",3 Anos,"9,44","7,84%","12,29%",,,,,,"0,74","0,74","0,77","1,16",12/12/25,FII,",47 M",,15/01/26,08/01/26,"0,0970",---,---,,08/05/2026,15/05/2026,"R$ 0,0930",,BTCI11,5 anos,FUNDO IMOBILIARIO,,,,,,,,BTCI11,,"0,1022","1,3367","1,2336","1,1070",,"0,10"
CACR11,"16,18",09/01/2026,"1,35",09/01/26,30/12/25,"1,35",---,---,CACR11,,,"10,3500","12,2900","12,0300",,,,,,,,"10,3500","12,2900","12,0300",3 Anos,"81,33","14,79%","19,89%",,,,,,"12,03","12,03","11,56","16,18",09/01/26,FII,",55 M",,09/01/26,30/12/25,"1,3500",---,---,,29/05/2026,08/06/2026,"R$ 1,2000",,CACR11,5 anos,FUNDO IMOBILIARIO,,,,,,,,CACR11,"5,3100","14,5200","19,1200","17,4700","16,2400","5,31","14,52"
